nome,sigla,cnpj,categoria,associados,base_contagem,fonte_associados,data_fonte,tipo_fonte,entidade_paga,tipo_cobranca,evidencia_cobranca,observacoes
Associação dos Funcionários Aposentados e Pensionistas do Banco do Brasil de Santa Catarina,AFABB-SC,,1,,,,,,a confirmar,,,"Site oficial localizado (afabbsc.org.br). CNPJ, número de associados e evidência de cobrança não levantados nesta rodada por limite de buscas."
Associação dos Aposentados e Pensionistas do Banco do Brasil no Paraná,AFABB-PR,,1,,,,,,a confirmar,,,"Site oficial localizado (afabbpr.com.br). CNPJ, número de associados e evidência de cobrança não levantados nesta rodada por limite de buscas."
"Associação dos Funcionários, Aposentados e Pensionistas do Banco do Brasil no Distrito Federal",AFABB-DF,,1,,,,,,a confirmar,,,"Site oficial localizado (afabbdf.org.br). CNPJ, número de associados e evidência de cobrança não levantados nesta rodada por limite de buscas."
Associação dos Engenheiros da Petrobrás,AEPET,34.131.870/0001-11,4,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,não encontrado,não encontrado,"Fundada em 17/10/1961 (antiga AEPERG, renomeada em 1975), conforme site institucional aepet.org.br. Quadro social inclui engenheiros ativos e aposentados do sistema Petrobras — associação predominantemente profissional/categoria (sobreposição com categoria 1 e 3), não exclusiva de aposentados. Possui núcleos regionais (ex.: AEPET-BA)."
Associação de Pessoal da Caixa Econômica Federal da Bahia,APCEF/BA,,1,,,,,,sim,mensalidade,"Mensalidade de 1% do salário bruto, com teto de R$ 192,00, descontada em folha de pagamento (declarado no site institucional, seção 'Associe-se', apcefba.org.br).",CNPJ e número de associados não confirmados nas buscas realizadas.
Associação do Pessoal da Caixa Econômica Federal de Pernambuco,APCEF/PE,,1,,,,,,a confirmar,,,"Site oficial localizado (apcefpe.org.br). CNPJ, número de associados e mensalidade não confirmados nas buscas realizadas."
Associação do Pessoal da Caixa Econômica Federal do Ceará,APCEF/CE,07.343.346/0001-31,1,,,,,,sim,mensalidade,"Mensalidade de R$ 150,00 (categoria de sócio 'cooperados') e taxa de admissão de R$ 600,00, declarado no site institucional (apcefce.org.br). Fundada em 01/05/1949, sede em Fortaleza/CE.",Número de associados não confirmado. O valor encontrado é de uma categoria específica de sócio; pode haver outras faixas não capturadas nesta busca.
Associação do Pessoal da Caixa Econômica Federal da Paraíba,APCEF/PB,,1,,,,,,sim,mensalidade,"Mensalidade de 2% do salário padrão, com teto de R$ 141,00 (declarado no site institucional, seção 'Associe-se', apcefpb.org.br).",CNPJ e número de associados não confirmados nesta rodada.
Associação do Pessoal da Caixa Econômica Federal do Espírito Santo,APCEF/ES,,1,,,,,,sim,mensalidade,"Mensalidade de 1% do salário base, com vencimento no dia 20 de cada mês (declarado no site institucional, seção 'Associe-se', apcefes.org.br).",CNPJ e número de associados não confirmados nesta rodada.
Associação do Pessoal da Caixa Econômica Federal do Rio Grande do Sul,APCEF/RS,,1,,,,,,a confirmar,,,"Site institucional localizado (apcefrs.org.br); há também domínio 'apcefriograndedosul.com.br' — confirmar qual é o oficial na fase de consolidação. CNPJ, número de associados e mensalidade não levantados nesta rodada."
Associação do Pessoal da Caixa Econômica Federal do Distrito Federal,APCEF/DF,,1,,,,,,a confirmar,,,"Site institucional localizado (apcefdf.org.br), com página de estatuto publicada. Número de associados, CNPJ e mensalidade não levantados nesta rodada."
Associação do Pessoal da Caixa Econômica Federal do Acre,APCEF/AC,,1,,,,,,a confirmar,,,"Site institucional localizado (apcefac.org.br), com página 'Associe-se'. Demais dados não levantados nesta rodada."
Associação do Pessoal da Caixa Econômica Federal do Pará,APCEF/PA,04.857.033/0001-03,1,,,,,,a confirmar,,,CNPJ obtido de fonte agregadora localizada em busca (não confirmado diretamente no site oficial apcefpa.org.br por limite de buscas nesta rodada); validar via BrasilAPI/Receita Federal na fase de consolidação. Número de associados e mensalidade não confirmados.
"Associação dos Funcionários da Copel, Aposentados e Pensionistas da Fundação Copel",,77.739.506/0001-41,1,,,,,,a confirmar,,,"Fonte: Mapa das OSC (mapaosc.ipea.gov.br), registro consultado até 12/03/2025. Vinculada à Fundação Copel (entidade fechada de previdência complementar) — atenção: o benefício previdenciário é operado pela Fundação Copel, não pela associação em si (relevante para a coluna 'fundação vinculada' na fase de enriquecimento). Número de associados e mensalidade não confirmados. Há entidades correlatas (APC – Associação de Profissionais da Copel; NovaAPC) mencionadas nas buscas que podem ser candidatas adicionais, não aprofundadas por limite de buscas."
"Associação dos Aposentados, Pensionistas e Servidores da Extinta Caixa Econômica Estadual do Rio Grande do Sul",,93.235.224/0001-63,1,,,,,,a confirmar,,,"Fundada em 07/12/1989, sede em Porto Alegre/RS. Representa aposentados/pensionistas/servidores da extinta Caixa Econômica Estadual do RS (banco estadual incorporado). Número de associados e mensalidade não confirmados nesta rodada."
Após Furnas,,,1,,,,,,a confirmar,,,"Site institucional localizado (aposfurnas.org.br), aparentemente distinto da ASEF, também ligado a aposentados de Furnas Centrais Elétricas/Eletrobras. Nome institucional completo, CNPJ, número de associados e mensalidade não confirmados — checar duplicidade com ASEF na fase de consolidação."
Associação Nacional dos Aposentados dos Correios,AAC Nacional,não encontrado,4,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,não encontrado,não encontrado,"Site institucional localizado: aacnacional.org. Existem também associações estaduais afiliadas (ex.: AAC — Associação dos Aposentados e Aposentáveis dos Correios, aac.org.br; ARACT-SP; AMAPAC-MG) que podem ser candidatas adicionais em nível estadual."
"Associação dos Aposentados, Aposentáveis e Pensionistas dos Correios de Santa Catarina",AAPSC,00.137.953/0001-04,1,,,,,,a confirmar,,,Sede em Florianópolis/SC. Número de associados e mensalidade não confirmados nas buscas realizadas.
Associação Mineira dos Aposentados e Pensionistas dos Correios,AMAPEC/MG,,1,,,,,,a confirmar,,,"Identificada via Mapa das OSC (mapaosc.ipea.gov.br). CNPJ, número de associados e mensalidade não confirmados nesta rodada."
"Associação Nacional de Empregados e Ex-Empregados das Empresas do Sistema Petrobras e Sucessoras, Participantes e Assistidos da Petros",APAPE,04.931.011/0001-46,1,,,,,,a confirmar,,,"Site institucional com página 'Associe-se' (apape.org.br/associe-se/), o que sugere cobrança, mas o valor específico não foi encontrado nas buscas. Número de associados não confirmado."
Associação dos Aposentados e Pensionistas do Sistema Petrobras no Nordeste,ASPENE,,1,,,,,,a confirmar,,,"Entidade identificada em Sergipe (referência via processos judiciais no Jusbrasil). CNPJ, número de associados e mensalidade não confirmados — candidata fraca, requer aprofundamento em próxima fase."
Associação dos Funcionários Aposentados do Banco do Nordeste do Brasil,AABNB,,1,,,,,,a confirmar,,,"Site institucional localizado (aabnb.com.br). CNPJ, número de associados e mensalidade não confirmados nesta rodada."
Associação dos Aposentados e Pensionistas da Sabesp,AAPS,61.391.504/0001-74,1,,,,,,sim,mensalidade,"Aposentados e pensionistas pagam 0,6% da remuneração bruta (benefício do INSS somado à complementação Sabesp/Sabesprev), com teto de R$ 100,32 (declarado no site institucional, aaps.com.br/associese.asp).",Número de associados não confirmado nas buscas realizadas.
"Associação dos Aposentados, Pensionistas e Empregados das Empresas Patrocinadoras da Valia",APOSVALE,,1,,,,,,a confirmar,,,"Fundada em 25/01/1985 no Rio de Janeiro, por ex-empregados da Companhia Vale do Rio Doce, vinculada à Valia (fundo de pensão da Vale). CNPJ, número de associados e mensalidade não confirmados — candidata relevante dado o porte da Vale, requer aprofundamento em próxima fase."
ANFIP - Associação Nacional dos Auditores Fiscais da Receita Federal do Brasil,ANFIP,,2,,não informado,,,declarado pela entidade,a confirmar,,,"Entidade histórica (fundada em 1950) de auditores fiscais da Receita Federal, com categorias de associados efetivos (ativos e aposentados) e participantes (dependentes de pensionistas), conforme https://www.anfip.org.br/quem-somos/ (consultado via busca em 16/09/2026). Número de associados e valor de mensalidade não localizados nesta pesquisa; site institucional não pôde ser acessado diretamente (bloqueio de rede)."
Unafisco Nacional - Associação Nacional dos Auditores Fiscais da Receita Federal do Brasil,UNAFISCO NACIONAL,,2,,não informado,,,documento oficial,sim,mensalidade,Estatuto da Unafisco (art. sobre deveres dos associados): 'todos os associados são obrigados a contribuir com a mensalidade fixada anualmente em Assembleia Geral' - https://unafiscohml.compubusiness.com.br/wp-content/uploads/2020/09/ESTATUTO-DA-UNAFISCO.pdf (consultado via busca em 16/09/2026),"Representa a mesma categoria profissional da ANFIP (auditores fiscais da Receita Federal do Brasil), possivelmente com perfil mais sindical. Número de associados não localizado nesta pesquisa."
AJUFE - Associação dos Juízes Federais do Brasil,AJUFE,13.971.668/0001-28,2,,não informado,,,declarado pela entidade,a confirmar,,,"Fundada em 1972; reúne juízes federais de 1ª e 2ª instância e ministros do STJ/STF. Estatuto prevê que a Assembleia Geral fixa condições de associação e taxas de admissão, mas valor específico não localizado. Fonte CNPJ: resultado de busca (jusbrasil/site institucional), consultado 16/09/2026."
CONAMP - Associação Nacional dos Membros do Ministério Público,CONAMP,,2,,não informado,,,declarado pela entidade,a confirmar,,,"Representa membros do Ministério Público da União e dos Estados (ativos e inativos); possui categorias de membros efetivos, agregados (pensionistas) e entidades afiliadas. Mudou de natureza jurídica para associação nacional em 2000, mantendo a sigla CONAMP (histórico anterior como confederação de associações estaduais)."
ANAPE - Associação Nacional dos Procuradores dos Estados e do Distrito Federal,ANAPE,89.137.863/0001-19,2,,não informado,,,declarado pela entidade,a confirmar,,,Fundada em 1983; em 1999 deixou de ser associação de associações e passou a ter identidade nacional própria. Número de associados e evidência de cobrança não localizados; página institucional (anape.org.br) não pôde ser acessada diretamente (bloqueio de rede).
AFRESP - Associação dos Auditores Fiscais da Receita Estadual de São Paulo,AFRESP,62.635.990/0028-01,2,,não informado,,,declarado pela entidade,sim,mensalidade,"Página 'Associe-se' do site oficial menciona pagamento da mensalidade por autorização de débito em conta ou débito automático. Fonte: https://afresp.org.br/associe-se/ (via busca), 16/09/2026.",Fundada em 1999; restrita a Agentes Fiscais de Rendas do Estado de São Paulo.
"AOPP - Associação dos Oficiais, Praças e Pensionistas da Polícia Militar do Estado de São Paulo",AOPP,11.006.030/0001-21,2,,não informado,,,declarado pela entidade,a confirmar,,,"Fundada em 2009; associação sem fins lucrativos que representa oficiais e praças da PM/SP e pensionistas. CNPJ localizado corresponde ao nome 'Associação dos Oficiais, Praças e Pensionistas da Polícia Militar do Estado de São Paulo' via mapaosc.ipea.gov.br; confirmar correspondência exata com a sigla AOPP no fact-check."
DEFENDA PM - Associação de Oficiais Militares do Estado de São Paulo em Defesa da Polícia Militar,DEFENDA PM,,2,,não informado,,,declarado pela entidade,sim,mensalidade,"Resultado de busca indica que 'a receita da entidade advém unicamente da mensalidade paga pelos associados'. Fonte: https://defendapm.org.br/QuemSomos.aspx (via busca), 16/09/2026.",Fundada em 01/09/2016.
AMESP - Associação dos Militares Estaduais de São Paulo,AMESP,,2,,não informado,,,declarado pela entidade,a confirmar,,,Localizada via amesp-sp.org.br. Número de associados e evidência de cobrança não localizados nesta pesquisa.
ASPRA/PMBM - Associação dos Praças Policiais e Bombeiros Militares de Minas Gerais,ASPRA/PMBM-MG,,2,,não informado,,,declarado pela entidade,a confirmar,,,"Associação exclusiva de praças (cabos, soldados, sargentos) da PM e Corpo de Bombeiros de MG, fundada em 1967, com mais de 50 anos de existência."
AOPMBM/MG - Associação dos Oficiais da Polícia Militar e do Corpo de Bombeiros Militar de Minas Gerais,AOPMBM/MG,,2,,não informado,,,declarado pela entidade,a confirmar,,,Fundada em 1999; congrega oficiais da PM e do Corpo de Bombeiros Militar de MG.
"ABMRJ - Associação dos Bombeiros Militares do CBMERJ, seus Familiares e Amigos no Estado do Rio de Janeiro",ABMRJ,16.103.035/0001-96,2,,não informado,,,declarado pela entidade,a confirmar,,,Localizada via mapaosc.ipea.gov.br. Número de associados e evidência de cobrança não localizados.
Associação de Oficiais Militares Ativos e Inativos da Polícia Militar e do Corpo de Bombeiros do Estado do Rio de Janeiro,,29.507.506/0001-73,2,,não informado,,,declarado pela entidade,a confirmar,,,Fundada em 20/06/1977. Sigla não identificada nesta pesquisa.
AME/RJ - Associação de Oficiais Militares Estaduais do Rio de Janeiro,AME/RJ,,2,,não informado,,,declarado pela entidade,a confirmar,,,"Entidade de âmbito estadual que representa oficiais da PM e do Corpo de Bombeiros Militar do RJ, com categorias de sócios efetivos, contribuintes e especiais (alunos de escolas de formação de oficiais). Número de associados e mensalidade não localizados; site amerj.net.br não pôde ser acessado diretamente."
AME-MS - Associação dos Militares Estaduais de Mato Grosso do Sul,AME-MS,,2,,não informado,,,declarado pela entidade,a confirmar,,,Localizada via amems.net.br. Sem dados adicionais nesta pesquisa.
AMEBRASIL - Associação dos Militares Estaduais do Brasil,AMEBRASIL,,2,,não informado,,,declarado pela entidade,a confirmar,,,"Nome sugere entidade de âmbito nacional que pode congregar associações estaduais (possível caráter de federação, não de associação direta de pessoas físicas) — checar natureza jurídica exata (399-9 ou outra) no fact-check."
ASMEAP - Associação dos Servidores Militares Estaduais do Amapá,ASMEAP,,2,,não informado,,,declarado pela entidade,a confirmar,,,Localizada via asmeap.com. Sem dados adicionais nesta pesquisa.
"AMERRPE - Associação dos Militares Estaduais da Reserva Remunerada, Reformados e Pensionistas PM/BM do Estado de Pernambuco",AMERRPE,,2,,não informado,,,declarado pela entidade,a confirmar,,,"Associação voltada a militares estaduais da reserva remunerada, reformados e pensionistas de PM/BM de Pernambuco (possível sobreposição com categoria 4 - aposentados/pensionistas)."
ASSOFEPAR,ASSOFEPAR,,2,,não informado,,,declarado pela entidade,a confirmar,,,Localizada via assofepar.org.br (associação de segurança pública do Paraná); nome completo e categoria de servidores representados não confirmados nesta pesquisa - checar no fact-check.
Associação dos Militares Estaduais do Pará,,,2,,não informado,,,declarado pela entidade,a confirmar,,,"Site (acspa.com.br) se autodenomina 'a maior associação de segurança pública do PA' - afirmação autodeclarada, não confirmada por fonte externa nesta pesquisa. Sigla exata (possivelmente ACSPA) não confirmada."
ASPRA-ES - Associação das Praças da Polícia Militar e Corpo de Bombeiros Militar do Espírito Santo,ASPRA-ES,,2,,não informado,,,declarado pela entidade,a confirmar,,,Localizada via aspraes.com.br. Sem dados adicionais nesta pesquisa.
Associação de Praças PM/BM-RJ,ASPRA-RJ,,2,,não informado,,,declarado pela entidade,a confirmar,,,Localizada via asprarj.com.br. Sem dados adicionais nesta pesquisa.
"ANASPS - Associação Nacional dos Servidores Públicos, da Previdência e da Seguridade Social",ANASPS,,2,,não informado,,,declarado pela entidade,a confirmar,,,"Representa servidores da Previdência/INSS e da Seguridade Social (categoria diretamente relevante para 'servidores do INSS' citada no escopo). ALERTA: dada sua base de associados incluir aposentados/pensionistas do serviço público, recomenda-se checagem específica no fact-check quanto a eventual menção em investigações de descontos associativos indevidos do INSS - nesta pesquisa não foi encontrada menção direta à ANASPS na lista de entidades investigadas pela CGU/AGU (que cita Ambec, Sindinapi/FS, AAPB, Aapen, Contag, AAPPS Universo, Unaspub, Conafer, Apdap Prev, ABCB/Amar Brasil e CAAP - nenhuma delas é associação de servidores públicos da categoria 2, e sim de aposentados/pensionistas em geral, categoria 4)."
ASBAC - Associação dos Servidores do Banco Central,ASBAC,,2,,não informado,,,declarado pela entidade,a confirmar,,,"Estrutura regionalizada, com entidades próprias por praça (ASBAC-DF/Brasília, ASBAC-RJ, ASBAC Salvador, ASBAC-SP, ASBAC Porto Alegre), sem CNPJ nacional único identificado nesta pesquisa. Checar no fact-check se há entidade nacional guarda-chuva ou se cada regional deve ser candidata separada."
Associação Nacional dos Membros do Ministério Público,CONAMP,não encontrado,3,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,,,"Entidade nacional que reúne associações estaduais e federais de membros do Ministério Público como afiliadas (ex.: APMP, AMPERJ). Número de associados próprio e valor de anuidade não encontrados nesta pesquisa."
Associação Paulista do Ministério Público,APMP,61.278.818/0026-13 (não confirmado se é CNPJ da matriz ou de filial),3,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,,,Fundada em 26/11/1938. Reúne membros do Ministério Público do Estado de São Paulo. Número de associados e valor de anuidade não encontrados nesta pesquisa.
Associação Brasileira de Odontologia - Seção Rio de Janeiro,ABO-RJ,não encontrado,3,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,,,Seção estadual filiada à ABO nacional. Dados de associados e mensalidade não encontrados nesta pesquisa; candidata a enriquecimento na Fase 3.
Instituto de Engenharia,IE,não encontrado,3,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,,,"Fundado em 1916, em São Paulo/SP. Sociedade civil sem fins lucrativos de engenheiros e profissionais correlatos. Site tem seção 'Associe-se', sugerindo cobrança, mas número de associados e valor não encontrados."
Clube de Engenharia,,33.489.469/0001-95,3,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,,,"Fundado em 1880 no Rio de Janeiro/RJ; descrito como a mais antiga sociedade de engenheiros e profissionais de nível superior registrados nos CREAs da América Latina. Site tem página 'Desconto Para Sócios', sugerindo quadro associativo pagante, mas número de sócios e valor de mensalidade não encontrados."
Instituto dos Auditores Independentes do Brasil,IBRACON,00.319.871/0002-53 (fonte não deixa claro se é matriz ou filial),3,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,,,Fundado em 1971. Reúne auditores independentes e contadores. 32.638 seguidores no LinkedIn (não é contagem oficial de associados). Número de associados e anuidade não encontrados nesta pesquisa.
Associação dos Juízes do Rio Grande do Sul,AJURIS,não encontrado,3,,Mapa das OSC (IPEA) registra o campo de associados como 'não informado',https://mapaosc.ipea.gov.br/detalhar/1288002,não encontrado,documento oficial,a confirmar,,,Fundada em 11/08/1944. Congrega magistrados do Estado do Rio Grande do Sul.
Sociedade Médica do Estado do Rio de Janeiro,SOMERJ,não encontrado,3,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,,,"Criada em 01/09/1984 na II Reunião de Médicos do Estado do RJ, com adesão de entidades como AMB, SMCRJ, AMF e AMERJ. Possível federada da AMB no Rio de Janeiro; confirmar na Fase 2/3 se é a mesma entidade referida como 'AMERJ' em algumas fontes. Número de associados e anuidade não encontrados."
Associação Brasileira de Enfermagem,ABEn,não encontrado,3,,"entidade declara ter número ilimitado de associados, organizados por Seções Federadas estaduais e no DF, sem total nacional consolidado divulgado",https://abennacional.org.br/,não encontrado,declarado pela entidade,a confirmar,,,Estrutura federativa nacional de enfermeiros.
Instituto dos Advogados Brasileiros,IAB,não encontrado,3,,"sem total consolidado publicado; associados divididos em efetivos, honorários e beneméritos, em número ilimitado segundo estatuto",https://iabnacional.org.br/nossos-associados/,14/05/2026 (última atualização da lista de associados na página consultada),declarado pela entidade,a confirmar,,,"Entidade histórica de advogados, distinta da OAB (categoria 7 desta pesquisa)."
Associação do Ministério Público do Estado do Rio de Janeiro,AMPERJ,não encontrado,3,,"não informado (fonte cita apenas ingresso de 37 novos associados após posse do 37º concurso, em out/2024)",https://www.amperj.org/blog/2024/10/10/amperj-recebe-37-novos-associados-apos-posse-do-37o-concurso/,10/10/2024,declarado pela entidade,a confirmar,,,"Fundada em 24/04/1947. Possui categorias de associados titulares (ativos e inativos), honorários e beneméritos."
Associação Médica de Minas Gerais,AMMG,não encontrado,3,,não informado,não encontrado,não encontrado,não encontrado,sim,anuidade,"Página oficial 'Anuidade AMMG' (ammg.org.br/anuidade-ammg) informa anuidade 2026 do SAMMG (departamento da AMMG) no valor de R$ 174,80.",Fundada em 19/01/1946. Representa a classe médica de Minas Gerais e é federada à AMB. Número de associados não encontrado nesta pesquisa.
Associação Nacional dos Procuradores dos Estados e do Distrito Federal,ANAPE,não encontrado,3,,sem total nacional consolidado; fonte cita apenas dados regionais (188 novos filiados em São Paulo; cerca de 120 associados na Apeam/Amazonas),https://anape.org.br/noticias/188-procuradores-do-estado-de-sao-paulo-filiam-se-a-anape-logo-apos-tomarem-posse,não encontrado,declarado pela entidade,a confirmar,,,"Entidade nacional de procuradores de estados e do DF; filiação ocorre via associações estaduais (ex.: APEP-PR, Apeminas-MG, APEPA-PA)."
Associação dos Magistrados da Paraíba,AMPB,09.169.871/0001-08,3,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,,,"Associação estadual de magistrados da Paraíba, filiada à Associação dos Magistrados Brasileiros (AMB). Número de associados e anuidade não encontrados."
Sociedade Brasileira de Cardiologia,SBC,"31.444.094/0001-11 (outra fonte cita 31.444.094/0002-00, possível filial; matriz não confirmada com certeza)",3,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,,,"Fundada em 1943. Possui categorias de associados (Aspirante, Efetivo, Residente, Colaborador) e sistema de cobrança de anuidade (residentes do 1º ano são isentos, segundo fonte), mas número total de associados e valor da anuidade não encontrados."
Associação Bahiana de Medicina,ABM,não encontrado,3,,não informado,não encontrado,não encontrado,não encontrado,a confirmar,,,"Fundada em 11/10/1942, federada à Associação Médica Brasileira (AMB). Número de associados e anuidade não encontrados nesta pesquisa."
Associação Médica do Paraná,AMP,não encontrado,3,,não informado,não encontrado,"não encontrado (artigo consultado menciona '87 anos de fundação', o que sugere publicação por volta de 2020)",não encontrado,a confirmar,,,Fundada em 1933. Presente em cerca de 20 regionais ativas no Paraná. Número de associados e anuidade não encontrados nesta pesquisa.
"Associação de Suporte Assistencial e Beneficente para Aposentados, Servidores e Pensionistas do Brasil",ASABASP Brasil,41.034.197/0001-67,4,,não informado,não encontrado,não encontrado,não encontrado,sim,mensalidade,"Citada no ranking de descontos associativos do INSS com R$ 7,9 milhões arrecadados — Metrópoles, 'Entidades já somam R$ 1,5 bi em descontos do INSS no ano. Veja ranking' (2024)","ALERTA REPUTACIONAL: uma das entidades citadas na lista de 12 entidades investigadas pela CGU/PF na Operação Sem Desconto (2025) — fontes: Poder360 'INSS investiga 12 entidades por descontos indevidos em benefícios', CartaCapital e TNH1 (abr/2025). Fundada em 2021, segundo site institucional asabasp.org."
Rede Ibero-Americana de Associações de Idosos do Brasil,RIAAM Brasil,09.100.605/0001-29,4,,não informado,não encontrado,não encontrado,não encontrado,sim,mensalidade,"Citada no ranking de descontos associativos do INSS com R$ 7,8 milhões arrecadados — Metrópoles, 'Entidades já somam R$ 1,5 bi em descontos do INSS no ano. Veja ranking' (2024); referida como uma das entidades com Acordo de Cooperação Técnica (ACT) com o INSS","ALERTA REPUTACIONAL: citada no contexto da CPMI do INSS e da Operação Sem Desconto (PF/CGU, 2025) entre as entidades com ACT junto ao INSS para desconto associativo em folha de benefício."
"Associação Brasileira dos Aposentados, Pensionistas e Idosos",ASBRAPI,41.191.842/0001-55,4,,não informado,não encontrado,não encontrado,não encontrado,sim,mensalidade,"Citada no ranking de descontos associativos do INSS com R$ 5,4 milhões arrecadados — Metrópoles, 'Entidades já somam R$ 1,5 bi em descontos do INSS no ano. Veja ranking' (2024)","ALERTA REPUTACIONAL: uma das entidades citadas na lista de 12 entidades investigadas pela CGU/PF na Operação Sem Desconto (2025) — fontes: Poder360, CartaCapital, TNH1 (abr/2025)."
Associação no Brasil de Aposentados e Pensionistas da Previdência Social,AP Brasil,41.001.558/0001-79,4,,não informado (apenas taxa de filiação divulgada),não encontrado,não encontrado,não encontrado,sim,mensalidade,"CNN Brasil, 'Associação envolvida em fraude do INSS filiou 1.500 aposentados por hora' — relatório da CGU aponta filiação de até 1.500 aposentados por hora e arrecadação de R$ 39 milhões em 2024 via descontos associativos em benefícios do INSS","ALERTA REPUTACIONAL: entidade fundada em Nova Iguaçu (RJ) em 2021; uma das entidades investigadas na Operação Sem Desconto (PF/CGU, 2025); CPMI do INSS quebrou o sigilo da entidade, segundo reportagens (2025)."
Centro de Estudos dos Benefícios dos Aposentados e Pensionistas,CEBAP,não encontrado,4,,não informado,não encontrado,não encontrado,não encontrado,sim,mensalidade,Acordo de Cooperação Técnica (ACT) com o INSS firmado em 2022 para desconto associativo — citado em listagem oficial reproduzida por Poder360 e CartaCapital (2025),"ALERTA REPUTACIONAL: uma das 12 entidades investigadas pela CGU/PF na Operação Sem Desconto (2025) — fontes: Poder360 'INSS investiga 12 entidades por descontos indevidos em benefícios', CartaCapital, TNH1 (abr/2025)."
Caixa de Assistência aos Aposentados e Pensionistas,CAAP,não encontrado,4,,não informado,não encontrado,não encontrado,não encontrado,sim,mensalidade,Acordo de Cooperação Técnica (ACT) com o INSS firmado em 2022 para desconto associativo — citado em listagem oficial reproduzida por Poder360 e CartaCapital (2025),"ALERTA REPUTACIONAL: uma das 12 entidades investigadas pela CGU/PF na Operação Sem Desconto (2025) — mesmas fontes acima. Atenção: nome muito genérico, confirmar razão social exata e não confundir com Caixas de Assistência de conselhos profissionais (ex.: CAASP/OAB)."
União Nacional de Auxílio aos Servidores Públicos,UNASPUB,não encontrado,outra,,não informado,"Jornal de Brasília, 'Veja lista de associações investigadas por descontos indevidos na aposentadoria', https://jornaldebrasilia.com.br/noticias/economia/veja-lista-de-associacoes-investigadas-por-descontos-indevidos-na-aposentadoria/","2025 (Operação Sem Desconto, ACT assinado em 2022)",imprensa,sim,mensalidade,Acordo de Cooperação Técnica (ACT) com o INSS assinado em 2022 para desconto de mensalidade associativa em folha de benefício.,"ALERTA REPUTACIONAL INSS: entidade citada na lista de associações investigadas por descontos indevidos na aposentadoria (Operação Sem Desconto). Apesar do nome sugerir servidores públicos, a cobertura a trata no contexto de descontos sobre aposentadorias/pensões do INSS — checar público-alvo real."
Associação de Proteção e Defesa dos Direitos dos Aposentados e Pensionistas (ex-Acolher),APDAP PREV,não encontrado,4,,não informado,não encontrado,não encontrado,não encontrado,sim,mensalidade,Acordo de Cooperação Técnica (ACT) com o INSS firmado em 2022 (sob o nome anterior 'Acolher') para desconto associativo — citado em listagem oficial reproduzida por Poder360 e CartaCapital (2025),ALERTA REPUTACIONAL: uma das 12 entidades investigadas pela CGU/PF na Operação Sem Desconto (2025) — mesmas fontes acima.
Associação dos Aposentados e Pensionistas do Regime Geral da Previdência Social,AAPS,não encontrado,4,,não informado,não encontrado,não encontrado,não encontrado,sim,mensalidade,"Citada entre as entidades com desconto associativo em folha de benefício do INSS na listagem de entidades investigadas — Poder360, CartaCapital (2025)",ALERTA REPUTACIONAL: uma das 12 entidades investigadas pela CGU/PF na Operação Sem Desconto (2025). Site institucional localizado: aaps.com.br. Confirmar razão social exata via CNPJ.
Associação dos Aposentados e Pensionistas Nacional (ex-Associação Brasileira dos Servidores Públicos),AAPEN,07.508.538/0001-50,4,,"não informado (fonte traz apenas evolução de receita de descontos: R$ 10,3 milhões em 2019 e R$ 178,6 milhões só no 1º semestre do ano seguinte)","resultado agregado de busca (Jusbrasil, 'Desconto sem autorização: contribuição AAPEN', https://www.jusbrasil.com.br/artigos/desconto-sem-autorizacao-contribuicao-aapen/2505969592), atribuído a dados da CGU",não encontrado,imprensa,sim,mensalidade,Desconto mensal em folha de benefício do INSS via ACT; artigo trata de cancelamento de 'contribuição AAPEN' descontada sem autorização.,ALERTA REPUTACIONAL INSS. Sede em Fortaleza-CE. Nome anterior: ABSP - Associação Brasileira dos Servidores Públicos. Verificar se CNPJ e razão social batem em base pública de CNPJ.
União Nacional de Aposentados e Pensionistas Brasileiros,UNAPB,10.708.967/0001-86,4,,não informado,"Mapa das OSC (IPEA), https://mapaosc.ipea.gov.br/detalhar/1208296 ; ver também registro sob o mesmo CNPJ associado ao nome 'AAPB' na Serasa Experian (https://empresas.serasaexperian.com.br/consulta-gratis/AAPB-ASSOCIACAO-DOS-APOSENTADOS-E-PENSIONISTAS-BRASILEIROS-DO-INSS-E-FUNDOS-DE-PENSAO-10708967000186)","fundada em 13/03/2009 (data de fundação, não de fonte de contagem)",imprensa,a confirmar,outra,não encontrado,Sede no Rio de Janeiro-RJ. Inconsistência de nome entre bases: mesmo CNPJ aparece como 'AAPB - Associação dos Aposentados e Pensionistas Brasileiros do INSS e Fundos de Pensão' na Serasa e como 'UNAPB' no Mapa das OSC/IPEA — checar razão social oficial no CNPJ antes de usar.
